Project Id,Bid,Status,
487721,Bid[1],Project Loading Failed,
487924,Bid[1],Project Loading Failed,
487874,Bid[1],Project Loading Failed,
487051,Bid[1],Project Loading Failed,
487985,Bid[1],Project Loading Failed,
487435,Bid[1],Project Loading Failed,
487055,Bid[1],Project Loading Failed,
487049,Bid[1],Project Loading Failed,
487291,Bid[1],Project Loading Failed,
487083,Bid[1],Project Loading Failed,
487571,Bid[1],Project Loading Failed,
487059,Bid[1],Project Loading Failed,
487037,Bid[1],Project Loading Failed,
487552,Bid[1],Project Loading Failed,
487902,Bid[1],Project Loading Failed,
487050,Bid[1],Project Loading Failed,
487057,Bid[1],Project Loading Failed,
487973,Bid[1],Project Loading Failed,
487523,Bid[1],Project Loading Failed,
487509,Bid[1],Project Loading Failed,
487610,Bid[1],Project Loading Failed,
487042,Bid[1],Project Loading Failed,
487134,Bid[1],Project Loading Failed,
487457,Bid[1],Project Loading Failed,
487027,Bid[1],Project Loading Failed,
487026,Bid[1],Project Loading Failed,
487408,Bid[1],Project Loading Failed,
487047,Bid[1],Project Loading Failed,
487151,Bid[1],Project Loading Failed,
487032,Bid[1],Project Loading Failed,
487068,Bid[1],Project Loading Failed,
487688,Bid[1],Project Loading Failed,
487420,Bid[1],Project Loading Failed,
486943,Bid[1],Project Loading Failed,
487656,Bid[1],Project Loading Failed,
487364,Bid[1],Project Loading Failed,
487017,Bid[1],Project Loading Failed,
487078,Bid[1],Project Loading Failed,
487023,Bid[1],Project Loading Failed,
487028,Bid[1],Project Loading Failed,
487668,Bid[1],Project Loading Failed,
487352,Bid[1],Project Loading Failed,
487021,Bid[1],Project Loading Failed,
487020,Bid[1],Project Loading Failed,
486994,Bid[1],Project Loading Failed,
487403,Bid[1],Project Loading Failed,
487135,Bid[1],Project Loading Failed,
487756,Bid[1],Project Loading Failed,
487189,Bid[1],Project Loading Failed,
487036,Bid[1],Project Loading Failed,
487380,Bid[1],Project Loading Failed,
487029,Bid[1],Project Loading Failed,
487014,Bid[1],Project Loading Failed,
487012,Bid[1],Project Loading Failed,
487000,Bid[1],Project Loading Failed,
487769,Bid[1],Project Loading Failed,
487005,Bid[1],Project Loading Failed,
486960,Bid[1],Project Loading Failed,
487007,Bid[1],Project Loading Failed,
487517,Bid[1],Project Loading Failed,
487681,Bid[1],Project Loading Failed,
487011,Bid[1],Project Loading Failed,
487178,Bid[1],Project Loading Failed,
486940,Bid[1],Project Loading Failed,
486990,Bid[1],Project Loading Failed,
487630,Bid[1],Project Loading Failed,
487004,Bid[1],Project Loading Failed,
487008,Bid[1],Project Loading Failed,
487945,Bid[1],Project Loading Failed,
486984,Bid[1],Project Loading Failed,
487616,Bid[1],Project Loading Failed,
487514,Bid[1],Project Loading Failed,
487843,Bid[1],Project Loading Failed,
487001,Bid[1],Project Loading Failed,
486972,Bid[1],Project Loading Failed,
487881,Bid[1],Project Loading Failed,
486973,Bid[1],Project Loading Failed,
486988,Bid[1],Project Loading Failed,
487979,Bid[1],Project Loading Failed,
487679,Bid[1],Project Loading Failed,
486981,Bid[1],Project Loading Failed,
487802,Bid[1],Project Loading Failed,
486995,Bid[1],Project Loading Failed,
486983,Bid[1],Project Loading Failed,
487006,Bid[1],Project Loading Failed,
487283,Bid[1],Project Loading Failed,
486993,Bid[1],Project Loading Failed,
486978,Bid[1],Project Loading Failed,
487295,Bid[1],Project Loading Failed,
486968,Bid[1],Project Loading Failed,
487202,Bid[1],Project Loading Failed,
487243,Bid[1],Project Loading Failed,
487164,Bid[1],Project Loading Failed,
486961,Bid[1],Project Loading Failed,
486969,Bid[1],Project Loading Failed,
486935,Bid[1],Project Loading Failed,
486966,Bid[1],Project Loading Failed,
487440,Bid[1],Project Loading Failed,
487490,Bid[1],Project Loading Failed,
486962,Bid[1],Project Loading Failed,
486907,Bid[1],Project Loading Failed,
487160,Bid[1],Project Loading Failed,
486957,Bid[1],Project Loading Failed,
486899,Bid[1],Project Loading Failed,
